Account;Area;Kontakt;Kontakt 2;Latitude;Longitude;Segment;Licznik
3266;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.91513;22.50934;2;1
3267;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;52.919976;22.514142;1;1
3268;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.582338965681785;22.73524065982053;1;1
3289;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.14102680000001;23.1639255;4;1
3352;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.14806;23.0579;4;1
3467;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.521759;22.319643;3;1
3472;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.10768322396764;21.98816646346507;3;1
3537;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;#;#;2;1
3538;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.41626771167417;22.307219018069098;1;1
3593;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.193610684317484;22.38498458835622;1;1
3688;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.49482;22.06688;4;1
3837;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.784854599603534;22.781544084704684;2;1
3868;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.152272059095345;21.828677981618895;4;1
3887;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.17584995083382;23.18759142940986;4;1
4041;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.5630405;22.2855473;2;1
4057;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.15027329999999;23.125793;1;1
4058;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.134817949843644;23.1840190284466;1;1
4060;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.6424897;22.4596845;4;1
4061;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.651292;22.455442;3;1
4170;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.318294505344696;22.921798734898612;3;1
4195;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.905691;23.2672409;4;1
4220;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.902195;23.2386099;3;1
4231;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.4707409;23.229422;3;1
4248;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.205846635075304;22.91355138051601;4;1
4342;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.8719759;22.80291;4;1
4378;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.985626;22.888032;1;1
4381;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.1478399;22.9904348;3;1
4382;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.160666;23.199868;4;1
4383;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;53.07135359999999;23.08009;4;1
4384;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.182367;23.064145;1;1
4385;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.1510229;23.1225299;3;1
4386;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.1088;23.12663;1;1
4436;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.67847826995377;22.502199636667967;4;1
4446;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.4318726;22.8552623;1;1
4548;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.51283;23.645222;2;1
4563;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.98883;22.24919;3;1
4564;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;52.97102190124042;22.248147279214773;3;1
4587;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.51972927055119;23.132088861400113;1;1
4616;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.08379;23.04611;2;1
4617;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.298593634810295;23.220682229121877;2;1
4771;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.136475;23.1570073;3;1
4772;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.641776;22.460925;4;1
4778;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.1405059;23.137026;4;1
4779;OBSZAR 1;KONTAKT 9;KONTAKT BRAK;53.13379219999999;23.1987668;2;1
4780;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.1347709;23.1472544;2;1
4816;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.46503;22.15264;4;1
4822;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.93068;22.55443;1;1
4984;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.1274521;23.1017225;1;1
4999;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.84006;23.76393;4;1
5083;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.0278278;22.6976414;4;1
5115;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.0715886;23.0802408;4;1
5122;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.07338;23.0235;4;1
5145;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.424073;21.889575;1;1
5253;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.31241435888338;22.920542901247064;4;1
5311;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.20729;23.206896;1;1
5532;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.7758329;22.5098718;4;1
5538;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.992560896881415;22.70191210429447;4;1
5655;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.11989029999999;22.9367351;2;1
5713;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.461701;23.082553;2;1
6188;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.14764;23.06013;3;1
6255;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.644562;22.44977;4;1
6258;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.582833;22.738798;3;1
6462;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.4617;23.08259;3;1
6700;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.09736520000001;22.9325365;1;1
6701;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.114033;22.942543;2;1
6719;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.25239089999999;23.076179;2;1
6854;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.12702072666655;23.076684230211566;4;1
6913;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;53.1372677;23.168307;1;1
6917;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.147505;21.750214;3;1
6960;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.409912200814524;22.407932123324827;1;1
6962;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.56206219438889;22.2860950263898;3;1
7021;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.3436049;22.682057;3;1
7038;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.40876979999999;21.9332848;4;1
7045;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.0798439;22.2457045;3;1
7371;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.1974781;22.0977366;1;1
7377;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.845717;22.982315;3;1
7541;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.12049486728917;23.099469022841873;2;1
7552;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.7417366;22.8397785;3;1
7558;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.14844052675829;23.08417820929438;3;1
7567;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.91869590990822;22.5126543214156;3;1
7750;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.4948229;22.0668799;4;1
7751;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.423008;21.888349;1;1
7782;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.405796;23.503393;1;1
7827;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.84461100000001;22.9958199;3;1
7883;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.9106;22.51159;4;1
7891;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.44571;22.97061;4;1
7897;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.120283;23.1514639;2;1
8058;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.127781;23.10004;3;1
8061;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.01991294410136;22.516807091701622;2;1
8080;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.854986332145394;23.00963950338466;4;1
8081;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.099037;22.922214;1;1
8082;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;54.0632671;23.3112396;1;1
8083;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.83299;22.964007;3;1
8245;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.23701;23.27812;1;1
8263;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.20008;21.9794;3;1
8288;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.01941056243265;23.142415515832866;3;1
8298;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.08814;22.26916;3;1
8329;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.578677;23.096607;3;1
8461;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.12680390000001;22.9369585;1;1
8623;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.307878283068696;23.28989163451913;2;1
8691;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.989790376695545;22.24552234202421;3;1
8693;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.75657239262613;23.188333901624862;2;1
8880;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.78425;23.35002;4;1
8916;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.157109;23.084905;3;1
8944;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.97308;22.24438;3;1
8950;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.10631472611745;23.350875056669842;1;1
9012;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.17215839014719;22.007543662041787;1;1
9013;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.20866418506026;22.77793249018062;2;1
9032;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.48125;22.56049;3;1
9043;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;53.122941;23.095906;4;1
9045;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.72536001672137;23.578975821250783;4;1
9163;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.9744524;22.9450371;4;1
9188;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.91962;23.01149;2;1
9231;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.650815;23.045275;2;1
9242;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.132241072099355;23.14707618012913;1;1
9262;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.53506;22.38752;1;1
9268;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.78742;23.05056;4;1
9442;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.39099;22.03645;2;1
9481;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.15714050442226;22.176587434878854;2;1
9532;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.520069725717725;22.316421648781418;2;1
9612;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.40728;23.4962;4;1
9613;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.405444;23.498022;4;1
9741;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.67601;22.50237;2;1
9946;OBSZAR 1;KONTAKT 9;KONTAKT BRAK;53.1139443;23.139524;4;1
10338;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.12396099999999;22.9274307;1;1
10807;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.842031;22.985009;4;1
11030;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.903501;23.104595;1;1
11045;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.110696;23.26964;4;1
11142;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.253083;23.076045;3;1
11200;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.944263;23.7404999;1;1
11228;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.14684;22.98725;4;1
11432;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.42684022912976;22.862075040562793;1;1
11779;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.15996252663805;22.065298005145518;3;1
11832;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;54.106735;23.347435;4;1
11848;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.747377252978914;23.582229205274185;2;1
11878;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.8545;22.57618;2;1
11890;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.082668;22.878118;3;1
11940;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;#;#;1;1
12155;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.39087;22.73316;2;1
12204;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;53.0989994;23.1217617;4;1
12208;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.69363778711047;23.833015246147013;1;1
12231;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.09870828573494;22.94479263274873;3;1
12232;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.17912;22.62539;3;1
12257;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.2513036821477;23.178808208016868;2;1
12314;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.41196;21.92606;1;1
12322;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.16375599733782;22.085965719113183;1;1
12323;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.17929601239862;22.079727090373186;4;1
12427;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.18336070411974;22.073699791316514;2;1
12449;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.123848;23.8894665;1;1
12452;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.42527;22.34293;1;1
12876;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.07925;22.24606;3;1
12935;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.10196;22.89438;3;1
12936;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.14872;22.86208;2;1
12941;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.68283;22.61816;1;1
13043;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.42407799999999;22.8653939;2;1
13233;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.868026;22.5459339;2;1
13370;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.1207225;22.9418809;2;1
13494;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.52202;22.9465;2;1
13563;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.08404;22.72626;3;1
13579;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.0945368;23.6722716;4;1
13746;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.1986779;23.0168451;2;1
14005;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.81736;23.47833;3;1
14034;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.989017291693344;22.781653546409945;2;1
14036;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.65623054152568;23.35641489746382;3;1
14044;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.760597997313404;23.50866742805892;3;1
14048;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.04663770660798;23.30642669680604;4;1
